word,wlen,firsttime,totaltime,word,surprisal
ik ,3,53.5,53.5,ik,17.567629341173124
enige ,6,228.4,285.4,enige,17.567629341173124
maanden ,8,165.9,182.8,maanden,17.567629341173124
had ,4,121.5,186.6,had,17.567629341173124
doorgebracht ,13,229.4,407.9,doorgebracht,17.567629341173124
in ,3,65.4,65.4,in,17.567629341173124
een ,4,158.0,196.0,een,17.567629341173124
nogal ,6,142.2,204.5,nogal,17.567629341173124
deprimerend ,12,240.4,308.2,deprimerend,17.567629341173124
"herstellingsoord, ",18,218.8,836.4,herstellingsoord,17.567629341173124
kreeg ,6,189.3,206.4,kreeg,17.567629341173124
ik ,3,96.1,113.6,ik,17.567629341173124
een ,4,78.1,101.7,een,17.567629341173124
maand ,6,150.4,241.8,maand,17.567629341173124
ziekteverlof. ,14,232.2,531.7,ziekteverlof,17.567629341173124
Aangezien ,10,205.8,256.0,aangezien,25.26048615415301
ik ,3,15.2,15.2,ik,17.567629341173124
geen ,5,231.0,296.5,geen,17.567629341173124
naaste ,7,110.2,139.2,naaste,17.567629341173124
familie ,8,213.2,303.1,familie,17.567629341173124
of ,3,28.3,28.3,of,17.567629341173124
vrienden ,9,146.2,195.5,vrienden,17.567629341173124
"heb, ",5,164.8,164.8,heb,17.567629341173124
was ,4,142.0,142.0,was,17.567629341173124
ik ,3,97.7,97.7,ik,17.567629341173124
nog ,4,73.2,95.3,nog,17.567629341173124
aan ,4,172.3,172.3,aan,17.567629341173124
het ,4,133.7,152.8,het,17.567629341173124
overleggen ,11,213.1,334.0,overleggen,17.5705969346105
wat ,4,103.0,103.0,wat,17.567629341173124
ik ,3,42.5,42.5,ik,17.567629341173124
zou ,4,181.1,242.7,zou,17.567629341173124
gaan ,5,167.4,224.5,gaan,17.567629341173124
"doen, ",6,184.5,202.4,doen,17.567629341173124
toen ,5,90.6,90.6,toen,17.567629341173124
ik ,3,71.2,90.3,ik,17.567629341173124
John ,5,203.7,284.4,john,17.567629341173124
Cavendish ,10,198.1,559.4,cavendish,17.567629341173124
tegen ,6,221.5,278.3,tegen,17.567629341173124
't ,3,22.1,22.1,t,17.567629341173124
lijf ,5,140.6,172.0,lijf,17.567629341173124
liep. ,6,170.6,187.4,liep,17.567629341173124
Ik ,3,45.9,45.9,ik,25.26048615415301
had ,4,153.0,169.9,had,17.567629341173124
hem ,4,101.2,101.2,hem,17.567629341173124
de ,3,76.6,76.6,de,17.567629341173124
laatste ,8,206.3,282.3,laatste,17.567629341173124
jaren ,6,134.8,217.6,jaren,17.567629341173124
weinig ,7,197.3,259.0,weinig,17.5705969346105
gezien. ,8,137.2,137.2,gezien,17.567629341173124
Eigenlijk ,10,194.4,230.3,eigenlijk,25.26048615415301
had ,4,74.1,106.2,had,17.567629341173124
ik ,3,82.5,101.7,ik,17.567629341173124
hem ,4,178.9,273.6,hem,17.567629341173124
nooit ,6,202.5,399.4,nooit,17.567629341173124
goed ,5,148.4,321.1,goed,17.567629341173124
gekend. ,8,143.9,143.9,gekend,17.567629341173124
In ,3,180.9,199.2,in,25.26048615415301
de ,3,34.0,34.0,de,17.567629341173124
eerste ,7,171.9,316.2,eerste,17.567629341173124
plaats ,7,131.6,170.0,plaats,17.567629341173124
was ,4,109.4,165.2,was,17.61726656681299
hij ,4,132.1,189.8,hij,17.567629341173124
ruim ,5,163.4,238.7,ruim,17.567629341173124
vijftien ,9,242.3,441.5,vijftien,17.567629341173124
jaar ,5,103.3,210.8,jaar,17.567629341173124
ouder ,6,223.8,287.4,ouder,17.567629341173124
dan ,4,63.4,96.1,dan,17.567629341173124
"ik, ",4,81.9,81.9,ik,17.567629341173124
hoewel ,7,210.8,382.3,hoewel,17.567629341173124
je ,3,112.5,128.8,je,17.567629341173124
hem ,4,150.1,390.5,hem,17.567629341173124
zijn ,5,126.4,157.1,zijn,17.567629341173124
vijfenveertig ,14,209.6,1023.3,vijfenveertig,17.567629341173124
jaar ,5,114.9,327.9,jaar,17.567629341173124
nauwelijks ,11,201.2,604.0,nauwelijks,17.567629341173124
aanzag. ,8,234.5,431.5,aanzag,17.567629341173124
Maar ,5,115.4,159.2,maar,25.26048615415301
als ,4,185.6,290.7,als,17.567629341173124
jongen ,7,135.1,205.7,jongen,17.567629341173124
had ,4,125.0,141.8,had,17.567629341173124
ik ,3,103.6,103.6,ik,17.567629341173124
dikwijls ,9,171.2,242.7,dikwijls,17.567629341173124
gelogeerd ,10,235.5,281.8,gelogeerd,17.567629341173124
op ,3,134.9,134.9,op,17.567629341173124
"Styles, ",8,274.5,517.9,styles,17.567629341173124
het ,4,120.5,120.5,het,17.567629341173124
landgoed ,9,234.7,379.5,landgoed,17.567629341173124
van ,4,111.8,111.8,van,17.567629341173124
zijn ,5,163.8,282.0,zijn,17.567629341173124
moeder ,7,154.7,304.0,moeder,17.567629341173124
in ,3,93.5,135.9,in,17.567629341173124
Essex. ,7,225.4,567.0,essex,17.567629341173124
We ,3,17.7,17.7,we,25.26048615415301
praatten ,9,234.3,345.9,praatten,17.567629341173124
een ,4,68.3,68.3,een,17.567629341173124
hele ,5,179.1,252.1,hele,17.567629341173124
tijd ,5,170.3,208.4,tijd,17.567629341173124
over ,5,91.9,124.8,over,17.567629341173124
"vroeger, ",9,216.4,307.4,vroeger,17.567629341173124
en ,3,102.5,137.4,en,17.567629341173124
het ,4,137.8,237.4,het,17.567629341173124
eind ,5,176.2,244.8,eind,17.567629341173124
van ,4,144.1,235.3,van,17.567629341173124
't ,3,58.7,130.4,t,17.567629341173124
liedje ,7,177.6,235.0,liedje,17.567629341173124
was ,4,147.9,189.5,was,17.567629341173124
dat ,4,85.7,161.8,dat,17.567629341173124
hij ,4,133.9,159.2,hij,17.567629341173124
mij ,4,80.6,96.9,mij,17.567629341173124
uitnodigde ,11,218.8,321.8,uitnodigde,17.567629341173124
mijn ,5,69.7,126.2,mijn,17.567629341173124
verlof ,7,202.7,274.5,verlof,17.567629341173124
door ,5,125.8,217.8,door,17.567629341173124
te ,3,55.5,55.5,te,17.567629341173124
brengen ,8,204.9,222.3,brengen,17.567629341173124
op ,3,103.8,134.1,op,17.567629341173124
Styles. ,8,251.8,264.8,styles,17.567629341173124
Moeder ,7,185.8,264.4,moeder,25.26048615415301
