word,wlen,firsttime,totaltime
I ,2,265.55555555555554,265.55555555555554
ran ,4,111.55555555555556,124.0
across ,7,257.44444444444446,421.44444444444446
John ,5,115.22222222222223,323.55555555555554
Cavendish. ,11,237.0,649.7777777777778
I ,2,17.22222222222222,17.22222222222222
had ,4,240.0,264.3333333333333
seen ,5,177.11111111111111,271.22222222222223
very ,5,176.55555555555554,237.55555555555554
little ,7,154.11111111111111,200.11111111111111
of ,3,90.33333333333333,113.0
him ,4,181.33333333333334,238.11111111111111
for ,4,164.66666666666666,195.33333333333334
some ,5,184.55555555555554,252.22222222222223
years. ,7,177.11111111111111,234.33333333333334
"Indeed, ",8,215.11111111111111,256.0
I ,2,61.888888888888886,77.77777777777777
had ,4,156.0,232.44444444444446
never ,6,191.44444444444446,302.1111111111111
known ,6,189.33333333333334,305.44444444444446
him ,4,192.33333333333334,216.77777777777777
particularly ,13,250.55555555555554,553.2222222222222
well. ,6,170.33333333333334,191.11111111111111
He ,3,89.11111111111111,89.11111111111111
was ,4,277.77777777777777,373.0
a ,2,125.0,133.44444444444446
good ,5,148.11111111111111,263.44444444444446
fifteen ,8,227.22222222222223,496.3333333333333
years ,6,225.44444444444446,602.0
my ,3,141.88888888888889,347.3333333333333
"senior, ",8,199.77777777777777,441.6666666666667
for ,4,182.44444444444446,232.88888888888889
one ,4,101.0,146.33333333333334
"thing, ",7,131.33333333333334,256.0
though ,7,258.77777777777777,484.6666666666667
he ,3,88.66666666666667,102.11111111111111
hardly ,7,176.22222222222223,361.22222222222223
looked ,7,171.0,400.0
his ,4,127.22222222222223,199.88888888888889
years. ,7,37.333333333333336,81.44444444444444
As ,3,181.0,230.44444444444446
a ,2,100.55555555555556,149.77777777777777
"boy, ",5,152.22222222222223,294.6666666666667
"though, ",8,237.44444444444446,463.22222222222223
I ,2,84.55555555555556,84.55555555555556
had ,4,156.0,219.22222222222223
often ,6,172.44444444444446,240.0
stayed ,7,210.77777777777777,338.3333333333333
at ,3,109.77777777777777,169.66666666666666
"Styles, ",8,219.44444444444446,392.3333333333333
his ,4,51.22222222222222,51.22222222222222
mother's ,9,289.0,656.2222222222222
place ,6,166.66666666666666,330.44444444444446
in ,3,129.77777777777777,167.77777777777777
We ,3,140.44444444444446,187.55555555555554
had ,4,113.66666666666667,170.77777777777777
a ,2,190.0,213.77777777777777
good ,5,207.33333333333334,420.44444444444446
yarn ,5,166.66666666666666,184.33333333333334
about ,6,276.22222222222223,522.4444444444445
old ,4,145.88888888888889,227.44444444444446
"times, ",7,179.66666666666666,270.44444444444446
and ,4,151.77777777777777,182.44444444444446
it ,3,233.0,233.0
ended ,6,229.0,280.6666666666667
in ,3,86.55555555555556,130.44444444444446
his ,4,213.44444444444446,246.22222222222223
inviting ,9,210.0,362.44444444444446
me ,3,117.66666666666667,146.22222222222223
down ,5,188.44444444444446,231.11111111111111
to ,3,152.11111111111111,189.22222222222223
Styles ,7,175.55555555555554,276.55555555555554
to ,3,63.888888888888886,79.44444444444444
spend ,6,172.55555555555554,525.4444444444445
my ,3,52.77777777777778,52.77777777777778
leave ,6,169.33333333333334,416.55555555555554
there. ,7,122.44444444444444,159.44444444444446
The ,4,100.66666666666667,116.88888888888889
mater ,6,282.77777777777777,664.4444444444445
will ,5,196.66666666666666,436.6666666666667
be ,3,187.44444444444446,264.44444444444446
delighted ,10,255.33333333333334,317.1111111111111
to ,3,20.444444444444443,46.666666666666664
see ,4,175.88888888888889,269.3333333333333
you ,4,192.0,229.0
all ,4,76.88888888888889,121.22222222222223
those ,6,164.44444444444446,242.66666666666666
"years, ",7,111.44444444444444,184.33333333333334
he ,3,90.33333333333333,110.22222222222223
added. ,7,88.22222222222223,170.77777777777777
Your ,5,105.88888888888889,105.88888888888889
mother ,7,171.33333333333334,247.22222222222223
keeps ,6,265.55555555555554,353.6666666666667
well? ,6,145.33333333333334,238.77777777777777
I ,2,83.0,83.0
asked. ,7,261.22222222222223,372.22222222222223
"Oh, ",4,92.88888888888889,121.77777777777777
yes. ,5,205.22222222222223,268.6666666666667
I ,2,103.77777777777777,130.44444444444446
suppose ,8,184.88888888888889,312.3333333333333
you ,4,86.22222222222223,86.22222222222223
know ,5,190.55555555555554,265.3333333333333
that ,5,184.77777777777777,184.77777777777777
she ,4,189.66666666666666,218.0
has ,4,139.66666666666666,139.66666666666666
married ,8,205.0,307.44444444444446
again? ,7,169.44444444444446,272.44444444444446
I ,2,23.0,23.0
am ,3,97.88888888888889,97.88888888888889
afraid ,7,169.11111111111111,241.44444444444446
I ,2,40.22222222222222,40.22222222222222
showed ,7,191.77777777777777,309.77777777777777
my ,3,77.11111111111111,99.0
surprise ,9,197.88888888888889,274.3333333333333
rather ,7,244.55555555555554,354.1111111111111
plainly. ,9,339.1111111111111,555.2222222222222
Mrs. ,5,204.0,431.0
"Cavendish, ",11,244.88888888888889,748.8888888888889
who ,4,103.0,127.55555555555556
had ,4,211.77777777777777,373.6666666666667
married ,8,194.11111111111111,481.22222222222223
John's ,7,182.11111111111111,434.8888888888889
father ,7,211.22222222222223,440.44444444444446
when ,5,139.55555555555554,239.0
he ,3,171.0,269.55555555555554
was ,4,212.88888888888889,265.6666666666667
a ,2,235.22222222222223,282.0
widower ,8,206.88888888888889,384.1111111111111
with ,5,155.55555555555554,228.22222222222223
two ,4,97.33333333333333,126.22222222222223
"sons, ",6,220.77777777777777,317.22222222222223
had ,4,125.88888888888889,237.22222222222223
been ,5,198.88888888888889,351.55555555555554
a ,2,82.0,82.0
handsome ,9,252.66666666666666,367.22222222222223
woman ,6,190.55555555555554,265.55555555555554
of ,3,115.0,126.0
as ,3,70.33333333333333,99.44444444444444
I ,2,52.22222222222222,52.22222222222222
remembered ,11,251.66666666666666,535.5555555555555
her. ,5,167.55555555555554,207.77777777777777
She ,4,79.22222222222223,79.22222222222223
certainly ,10,247.11111111111111,432.3333333333333
could ,6,228.55555555555554,271.55555555555554
not ,4,176.11111111111111,221.22222222222223
be ,3,172.77777777777777,281.0
a ,2,154.88888888888889,288.3333333333333
day ,4,145.66666666666666,249.22222222222223
less ,5,268.0,342.55555555555554
than ,5,158.66666666666666,203.0
seventy ,8,253.22222222222223,507.3333333333333
now. ,5,123.22222222222223,209.88888888888889
I ,2,32.55555555555556,32.55555555555556
recalled ,9,340.3333333333333,624.0
her ,4,98.11111111111111,98.11111111111111
as ,3,232.44444444444446,232.44444444444446
an ,3,133.33333333333334,146.66666666666666
"energetic, ",11,254.66666666666666,470.77777777777777
autocratic ,11,193.66666666666666,802.4444444444445
"personality, ",13,235.88888888888889,459.44444444444446
somewhat ,9,386.1111111111111,440.3333333333333
inclined ,9,239.22222222222223,450.8888888888889
to ,3,18.666666666666668,18.666666666666668
charitable ,11,260.22222222222223,623.5555555555555
and ,4,62.55555555555556,62.55555555555556
social ,7,214.11111111111111,362.8888888888889
"notoriety, ",11,247.77777777777777,403.55555555555554
with ,5,197.55555555555554,298.3333333333333
a ,2,117.44444444444444,153.11111111111111
fondness ,9,156.77777777777777,503.6666666666667
for ,4,84.22222222222223,103.77777777777777
opening ,8,223.88888888888889,402.1111111111111
bazaars ,8,220.22222222222223,295.77777777777777
and ,4,94.77777777777777,116.22222222222223
playing ,8,175.55555555555554,342.44444444444446
the ,4,107.77777777777777,107.77777777777777
Lady ,5,141.44444444444446,194.22222222222223
Bountiful. ,11,303.3333333333333,594.3333333333334
She ,4,92.11111111111111,102.44444444444444
was ,4,266.8888888888889,374.3333333333333
a ,2,16.22222222222222,16.22222222222222
most ,5,194.66666666666666,293.22222222222223
generous ,9,157.0,334.77777777777777
"woman, ",7,100.77777777777777,127.88888888888889
and ,4,86.33333333333333,111.66666666666667
possessed ,10,228.44444444444446,491.8888888888889
a ,2,71.33333333333333,71.33333333333333
considerable ,13,200.55555555555554,621.1111111111111
fortune ,8,214.22222222222223,329.8888888888889
of ,3,53.0,75.11111111111111
her ,4,164.33333333333334,222.11111111111111
own. ,5,120.0,145.33333333333334
Their ,6,251.44444444444446,333.1111111111111
Styles ,7,220.88888888888889,586.1111111111111
"Court, ",7,136.55555555555554,258.22222222222223
had ,4,103.33333333333333,103.33333333333333
been ,5,181.55555555555554,323.44444444444446
purchased ,10,257.0,471.6666666666667
by ,3,54.333333333333336,60.0
Mr. ,4,128.55555555555554,158.33333333333334
Cavendish ,10,210.66666666666666,348.0
early ,6,183.44444444444446,245.55555555555554
in ,3,35.666666666666664,35.666666666666664
their ,6,121.44444444444444,150.55555555555554
married ,8,119.33333333333333,231.22222222222223
life. ,6,78.11111111111111,115.33333333333333
He ,3,134.66666666666666,176.77777777777777
had ,4,68.0,113.55555555555556
been ,5,217.77777777777777,342.8888888888889
completely ,11,138.55555555555554,380.1111111111111
under ,6,162.33333333333334,209.44444444444446
his ,4,121.88888888888889,177.0
wife's ,7,202.66666666666666,245.0
"ascendancy, ",12,277.6666666666667,783.5555555555555
so ,3,38.666666666666664,38.666666666666664
much ,5,253.11111111111111,276.6666666666667
so ,3,37.111111111111114,37.111111111111114
"that, ",6,242.11111111111111,322.22222222222223
on ,3,54.333333333333336,111.33333333333333
"dying, ",7,196.66666666666666,413.1111111111111
he ,3,124.77777777777777,144.77777777777777
left ,5,160.44444444444446,198.22222222222223
the ,4,142.33333333333334,172.44444444444446
place ,6,238.33333333333334,359.1111111111111
to ,3,67.22222222222223,111.66666666666667
her ,4,206.88888888888889,222.66666666666666
for ,4,244.55555555555554,326.77777777777777
her ,4,198.22222222222223,267.8888888888889
"lifetime, ",10,156.88888888888889,378.1111111111111
as ,3,20.666666666666668,20.666666666666668
well ,5,277.6666666666667,372.0
as ,3,98.44444444444444,98.44444444444444
the ,4,174.55555555555554,215.44444444444446
larger ,7,211.77777777777777,334.44444444444446
part ,5,155.55555555555554,204.66666666666666
of ,3,81.44444444444444,114.0
his ,4,160.11111111111111,176.66666666666666
income; ,8,203.88888888888889,304.1111111111111
an ,3,56.44444444444444,77.77777777777777
arrangement ,12,143.11111111111111,427.44444444444446
that ,5,173.33333333333334,200.22222222222223
was ,4,140.88888888888889,163.77777777777777
distinctly ,11,217.0,508.6666666666667
unfair ,7,196.22222222222223,349.8888888888889
to ,3,124.0,124.0
his ,4,229.22222222222223,413.22222222222223
two ,4,149.55555555555554,171.11111111111111
sons. ,6,103.77777777777777,103.77777777777777
Their ,6,251.77777777777777,435.44444444444446
"step-mother, ",13,213.22222222222223,469.3333333333333
"however, ",9,213.44444444444446,405.22222222222223
had ,4,91.11111111111111,107.66666666666667
always ,7,213.22222222222223,368.0
been ,5,189.66666666666666,189.66666666666666
most ,5,170.0,170.0
generous ,9,228.0,399.3333333333333
to ,3,55.0,55.0
them; ,6,163.22222222222223,238.88888888888889
"indeed, ",8,218.88888888888889,376.44444444444446
they ,5,78.0,133.55555555555554
were ,5,252.0,252.0
so ,3,100.88888888888889,100.88888888888889
young ,6,166.33333333333334,166.33333333333334
at ,3,120.88888888888889,135.55555555555554
the ,4,88.22222222222223,88.22222222222223
time ,5,187.11111111111111,211.0
of ,3,107.11111111111111,122.88888888888889
their ,6,178.22222222222223,249.88888888888889
father's ,9,116.33333333333333,184.77777777777777
remarriage ,11,219.66666666666666,409.3333333333333
that ,5,179.33333333333334,218.55555555555554
they ,5,125.88888888888889,236.44444444444446
always ,7,226.11111111111111,279.0
thought ,8,226.77777777777777,323.44444444444446
of ,3,40.44444444444444,64.88888888888889
her ,4,134.88888888888889,215.66666666666666
as ,3,154.88888888888889,208.11111111111111
their ,6,218.55555555555554,223.77777777777777
own ,4,76.44444444444444,76.44444444444444
mother. ,8,169.11111111111111,225.55555555555554
"Lawrence, ",10,142.0,464.6666666666667
the ,4,105.77777777777777,170.11111111111111
"younger, ",9,196.0,305.3333333333333
had ,4,70.77777777777777,110.88888888888889
been ,5,159.22222222222223,386.8888888888889
a ,2,73.77777777777777,90.55555555555556
delicate ,9,254.55555555555554,525.4444444444445
youth. ,7,62.44444444444444,104.11111111111111
He ,3,151.22222222222223,199.77777777777777
had ,4,238.0,427.55555555555554
qualified ,10,195.33333333333334,525.2222222222222
as ,3,119.33333333333333,161.11111111111111
a ,2,185.33333333333334,318.3333333333333
doctor ,7,174.55555555555554,347.8888888888889
but ,4,133.55555555555554,196.44444444444446
early ,6,198.55555555555554,496.6666666666667
relinquished ,13,239.0,958.7777777777778
the ,4,48.111111111111114,48.111111111111114
profession ,11,219.77777777777777,496.8888888888889
of ,3,88.11111111111111,88.11111111111111
"medicine, ",10,205.33333333333334,440.0
and ,4,98.11111111111111,150.11111111111111
lived ,6,188.66666666666666,576.2222222222222
at ,3,146.0,192.66666666666666
home ,5,237.22222222222223,437.1111111111111
while ,6,170.77777777777777,366.3333333333333
pursuing ,9,241.77777777777777,724.0
literary ,9,195.0,541.0
ambitions; ,11,271.77777777777777,567.6666666666666
though ,7,251.55555555555554,584.7777777777778
his ,4,195.88888888888889,262.55555555555554
verses ,7,274.3333333333333,444.3333333333333
never ,6,222.88888888888889,378.77777777777777
had ,4,156.0,291.77777777777777
any ,4,69.11111111111111,99.66666666666667
marked ,7,150.88888888888889,495.22222222222223
success. ,9,156.55555555555554,322.0
John ,5,266.22222222222223,432.8888888888889
practiced ,10,278.6666666666667,732.1111111111111
for ,4,198.44444444444446,218.33333333333334
some ,5,237.11111111111111,292.3333333333333
time ,5,155.44444444444446,205.0
as ,3,97.77777777777777,117.66666666666667
a ,2,136.44444444444446,157.66666666666666
"barrister, ",11,255.66666666666666,822.5555555555555
but ,4,114.0,114.0
had ,4,166.33333333333334,280.22222222222223
finally ,8,136.66666666666666,241.55555555555554
settled ,8,187.0,340.3333333333333
down ,5,146.66666666666666,180.0
to ,3,88.22222222222223,122.55555555555556
the ,4,172.66666666666666,198.55555555555554
more ,5,162.11111111111111,195.0
congenial ,10,263.22222222222223,667.0
life ,5,139.77777777777777,188.66666666666666
of ,3,60.111111111111114,85.0
a ,2,101.66666666666667,119.88888888888889
country ,8,162.11111111111111,465.8888888888889
squire. ,8,206.44444444444446,364.22222222222223
He ,3,175.66666666666666,222.33333333333334
had ,4,161.44444444444446,323.3333333333333
married ,8,165.22222222222223,322.22222222222223
two ,4,167.77777777777777,231.33333333333334
years ,6,140.55555555555554,287.0
"ago, ",5,114.22222222222223,116.77777777777777
and ,4,65.22222222222223,91.22222222222223
had ,4,94.77777777777777,157.88888888888889
taken ,6,249.55555555555554,355.3333333333333
his ,4,106.11111111111111,106.11111111111111
wife ,5,206.77777777777777,329.55555555555554
to ,3,42.0,42.0
live ,5,227.22222222222223,227.22222222222223
at ,3,141.88888888888889,160.11111111111111
"Styles, ",8,262.1111111111111,347.0
though ,7,196.77777777777777,290.22222222222223
I ,2,30.11111111111111,30.11111111111111
entertained ,12,131.33333333333334,503.44444444444446
a ,2,35.0,59.666666666666664
shrewd ,7,289.22222222222223,617.6666666666666
suspicion ,10,323.0,479.0
that ,5,106.55555555555556,106.55555555555556
he ,3,182.33333333333334,193.55555555555554
would ,6,151.33333333333334,190.22222222222223
have ,5,216.22222222222223,249.77777777777777
preferred ,10,273.8888888888889,459.8888888888889
his ,4,137.77777777777777,179.55555555555554
mother ,7,185.44444444444446,278.77777777777777
to ,3,113.33333333333333,113.33333333333333
increase ,9,215.33333333333334,511.22222222222223
his ,4,92.88888888888889,117.11111111111111
"allowance, ",11,196.77777777777777,626.5555555555555
which ,6,220.55555555555554,341.8888888888889
would ,6,273.22222222222223,293.77777777777777
have ,5,157.88888888888889,228.55555555555554
enabled ,8,258.44444444444446,447.3333333333333
him ,4,116.55555555555556,146.55555555555554
to ,3,112.44444444444444,123.22222222222223
have ,5,234.88888888888889,257.77777777777777
a ,2,55.0,55.0
home ,5,257.8888888888889,278.3333333333333
of ,3,144.44444444444446,144.44444444444446
his ,4,153.11111111111111,226.55555555555554
own. ,5,77.33333333333333,95.55555555555556
Mrs. ,5,139.44444444444446,263.22222222222223
"Cavendish, ",11,180.66666666666666,500.0
"however, ",9,225.33333333333334,292.22222222222223
was ,4,133.66666666666666,133.66666666666666
a ,2,38.333333333333336,38.333333333333336
lady ,5,166.44444444444446,177.44444444444446
who ,4,70.0,82.33333333333333
liked ,6,201.0,227.55555555555554
to ,3,126.44444444444444,126.44444444444444
make ,5,237.33333333333334,452.22222222222223
her ,4,95.77777777777777,95.77777777777777
own ,4,237.11111111111111,237.11111111111111
"plans, ",7,182.0,228.44444444444446
and ,4,148.88888888888889,189.88888888888889
expected ,9,125.55555555555556,245.55555555555554
other ,6,262.3333333333333,279.1111111111111
people ,7,174.88888888888889,343.8888888888889
to ,3,95.33333333333333,95.33333333333333
fall ,5,179.22222222222223,295.0
in ,3,97.11111111111111,125.55555555555556
with ,5,221.55555555555554,417.6666666666667
"them, ",6,113.44444444444444,179.66666666666666
and ,4,133.33333333333334,174.44444444444446
in ,3,136.0,158.0
this ,5,209.88888888888889,257.0
case ,5,171.88888888888889,241.88888888888889
she ,4,123.66666666666667,189.22222222222223
certainly ,10,263.8888888888889,488.55555555555554
had ,4,114.55555555555556,188.55555555555554
the ,4,157.66666666666666,208.55555555555554
whip ,5,121.11111111111111,205.44444444444446
"hand, ",6,166.44444444444446,371.44444444444446
namely: ,8,171.0,496.3333333333333
the ,4,90.0,120.22222222222223
purse ,6,271.77777777777777,648.0
strings. ,9,230.44444444444446,530.5555555555555
John ,5,153.55555555555554,243.77777777777777
noticed ,8,191.88888888888889,454.0
my ,3,115.88888888888889,215.77777777777777
surprise ,9,181.11111111111111,423.8888888888889
at ,3,104.77777777777777,118.33333333333333
the ,4,184.77777777777777,267.0
news ,5,96.33333333333333,167.66666666666666
of ,3,113.44444444444444,202.11111111111111
his ,4,149.55555555555554,221.44444444444446
mother's ,9,126.88888888888889,269.77777777777777
remarriage ,11,235.44444444444446,372.6666666666667
and ,4,207.55555555555554,207.55555555555554
smiled ,7,221.88888888888889,341.22222222222223
rather ,7,152.11111111111111,201.66666666666666
Rotten ,7,286.55555555555554,671.7777777777778
little ,7,237.88888888888889,425.1111111111111
bounder ,8,314.1111111111111,654.1111111111111
too! ,5,209.77777777777777,397.1111111111111
he ,3,88.33333333333333,101.0
said ,5,181.55555555555554,283.55555555555554
savagely. ,10,259.55555555555554,340.22222222222223
I ,2,38.55555555555556,38.55555555555556
can ,4,129.11111111111111,148.11111111111111
tell ,5,212.77777777777777,289.22222222222223
"you, ",5,66.33333333333333,110.55555555555556
"Hastings, ",10,222.66666666666666,683.3333333333334
it's ,5,205.11111111111111,376.22222222222223
making ,7,164.11111111111111,353.3333333333333
life ,5,258.1111111111111,403.0
jolly ,6,222.66666666666666,410.0
difficult ,10,300.3333333333333,479.8888888888889
for ,4,144.88888888888889,163.11111111111111
us. ,4,197.0,197.0
As ,3,58.44444444444444,97.22222222222223
for ,4,240.33333333333334,365.8888888888889
remember ,9,212.44444444444446,368.77777777777777
No. ,4,158.88888888888889,531.5555555555555
"Oh, ",4,238.33333333333334,443.6666666666667
I ,2,141.22222222222223,192.33333333333334
suppose ,8,198.77777777777777,334.77777777777777
she ,4,102.22222222222223,117.55555555555556
was ,4,202.77777777777777,335.1111111111111
after ,6,185.88888888888889,404.0
your ,5,186.55555555555554,272.1111111111111
time. ,6,136.55555555555554,175.55555555555554
She's ,6,215.66666666666666,311.44444444444446
the ,4,202.66666666666666,383.44444444444446
"factotum, ",10,238.33333333333334,965.3333333333334
"companion, ",11,215.88888888888889,600.8888888888889
Jack ,5,324.55555555555554,663.0
of ,3,95.22222222222223,172.11111111111111
all ,4,194.44444444444446,316.6666666666667
trades! ,8,218.0,540.5555555555555
A ,2,76.22222222222223,99.44444444444444
great ,6,193.66666666666666,512.5555555555555
Not ,4,116.33333333333333,141.66666666666666
precisely ,10,213.55555555555554,600.1111111111111
young ,6,126.33333333333333,176.77777777777777
and ,4,110.33333333333333,163.77777777777777
"beautiful, ",11,212.77777777777777,330.1111111111111
but ,4,88.88888888888889,133.44444444444446
as ,3,156.77777777777777,305.77777777777777
game ,5,124.22222222222223,161.77777777777777
as ,3,156.88888888888889,203.22222222222223
they ,5,200.66666666666666,364.77777777777777
make ,5,196.66666666666666,324.22222222222223
them. ,6,184.55555555555554,205.44444444444446
You ,4,105.55555555555556,125.66666666666667
were ,5,128.0,317.6666666666667
going ,6,202.33333333333334,430.1111111111111
to ,3,87.0,110.11111111111111
say......? ,11,139.0,287.3333333333333
"Oh, ",4,150.77777777777777,196.0
this ,5,230.0,307.0
fellow! ,8,132.55555555555554,219.33333333333334
He ,3,59.333333333333336,74.11111111111111
turned ,7,222.88888888888889,458.8888888888889
up ,3,28.88888888888889,28.88888888888889
from ,5,218.77777777777777,336.77777777777777
"nowhere, ",9,206.77777777777777,484.1111111111111
