word,wlen,firsttime,totaltime,word,sent_id,sent_pos,word_length,surprisal,entropy,entry,probability
in ,3,137.55555555555554,137.55555555555554,in,1,1,2,11.39250287733098,2.210417813995303,11.103518266984624,1.1279734185006977e-05
view ,5,155.55555555555554,251.66666666666666,view,2,2,4,7.814326946830756,2.210417813995303,5.691515004729287,0.00040390657900464164
of ,3,96.55555555555556,120.11111111111111,of,3,3,2,1.867870659513297,2.210417813995303,8.110677285642659,0.15445219322167325
the ,4,158.88888888888889,211.11111111111111,the,4,4,3,1.4349882967821619,2.210417813995303,6.480488728684162,0.23811815074696954
world-wide ,11,213.11111111111111,506.55555555555554,worldwide,5,5,9,9.468213758891416,2.210417813995303,8.130496259565017,7.726930589654908e-05
notoriety ,10,272.44444444444446,881.1111111111111,notoriety,6,6,9,11.68397178980751,2.210417813995303,9.547014178876518,8.427825308037015e-06
which ,6,214.66666666666666,437.1111111111111,which,7,7,5,11.351384208654743,2.210417813995303,11.326629437036782,1.1753209465699098e-05
attended ,9,262.0,524.4444444444445,attended,8,8,8,14.212183028643087,2.210417813995303,5.61258517214048,6.725542708060909e-07
"it, ",4,119.11111111111111,119.11111111111111,it,9,9,2,11.767658487637364,2.210417813995303,9.055006209147658,7.751234107201782e-06
I ,2,0.0,0.0,i,10,10,1,6.625309167847873,2.210417813995303,4.973374341283761,0.0013263702965799903
have ,5,241.66666666666666,316.6666666666667,have,11,11,4,2.8563567466320063,2.210417813995303,5.303104018226801,0.05747778540375055
been ,5,204.55555555555554,298.3333333333333,been,12,12,4,1.7927546837083703,2.210417813995303,5.362990189273662,0.16650088009689518
"asked, ",7,148.22222222222223,171.77777777777777,asked,13,13,5,5.574594398198858,2.210417813995303,6.825798724193427,0.003793013723389055
both ,5,224.77777777777777,282.44444444444446,both,14,14,4,6.059163325509442,2.210417813995303,6.303445673203075,0.002336354838498947
by ,3,112.44444444444444,112.44444444444444,by,15,15,2,7.159006504450293,2.210417813995303,7.125814086943887,0.0007778269370745144
my ,3,145.88888888888889,229.22222222222223,my,16,16,2,6.624080242578225,2.210417813995303,6.200175255018496,0.0013280013085450056
friend ,7,170.0,348.55555555555554,friend,17,17,6,5.644441758216282,2.210417813995303,7.050128465477909,0.0035371224196073543
and ,4,105.66666666666667,180.0,and,18,18,3,2.5987497962132413,2.210417813995303,8.261217414532668,0.07436649339242504
the ,4,180.88888888888889,270.6666666666667,the,4,19,3,2.87637915328418,2.210417813995303,7.898216133854422,0.056338386628590795
family ,7,183.33333333333334,355.55555555555554,family,20,20,6,6.564379439728908,2.210417813995303,8.130496259565017,0.0014096984824002443
"themselves, ",12,152.11111111111111,401.0,themselves,21,21,10,13.135302730312047,2.210417813995303,6.094181261728316,1.974288001236468e-06
to ,3,58.333333333333336,58.333333333333336,to,22,22,2,3.369499187955271,2.210417813995303,7.501252290320573,0.03440686440146719
write ,6,177.0,246.88888888888889,write,23,23,5,7.09267526349814,2.210417813995303,6.567673216488289,0.0008311707877242848
an ,3,136.77777777777777,136.77777777777777,an,24,24,2,4.468744632300759,2.210417813995303,9.32290201703344,0.011461695465030775
account ,8,232.88888888888889,344.0,account,25,25,7,7.056460282879808,2.210417813995303,6.918812406865484,0.0008618233119214622
of ,3,68.44444444444444,93.88888888888889,of,3,26,2,3.5054277705792156,2.210417813995303,8.105500146653158,0.030033922967238686
the ,4,146.66666666666666,161.66666666666666,the,4,27,3,1.4349882967821619,2.210417813995303,6.480488728684162,0.23811815074696954
whole ,6,202.0,247.77777777777777,whole,28,28,5,6.585141028847746,2.210417813995303,8.130496259565017,0.0013807326307371205
story. ,7,169.33333333333334,169.33333333333334,story,29,29,5,4.9572953730577645,2.210417813995303,7.9450908307888755,0.0070319208590931504
"This, ",6,218.44444444444446,342.77777777777777,this,0,0,4,-0.934536896189331,-2.3024973023175828,562.2480449059623,2.5460341065822263
we ,3,145.88888888888889,145.88888888888889,we,1,1,2,6.367342625835313,-2.3024973023175828,6.101183027733924,0.0017167151239396816
"trust, ",7,298.1111111111111,537.5555555555555,trust,2,2,5,7.24052912621868,-2.3024973023175828,5.10271010009552,0.0007169323120468843
will ,5,128.77777777777777,210.66666666666666,will,3,3,4,5.0579268976146565,-2.3024973023175828,8.274430426718787,0.006358728152724673
silence ,8,167.33333333333334,538.7777777777778,silence,4,4,7,14.894798373573673,-2.3024973023175828,4.861267675382431,3.398374664204172e-07
