word,wlen,firsttime,totaltime
uitnodigde ,11,218.8,321.8
mijn ,5,69.7,126.2
verlof ,7,202.7,274.5
door ,5,125.8,217.8
te ,3,55.5,55.5
brengen ,8,204.9,222.3
op ,3,103.8,134.1
Styles. ,8,251.8,264.8
Moeder ,7,185.8,264.4
zal ,4,119.1,140.9
het ,4,157.8,173.7
erg ,4,114.9,141.5
leuk ,5,124.5,124.5
vinden ,7,89.0,89.0
je ,3,44.8,44.8
weer ,5,189.5,255.6
eens ,5,92.8,138.3
te ,3,34.2,34.2
al ,3,143.6,143.6
die ,4,139.6,153.1
"jaren, ",7,129.7,181.1
voegde ,7,185.5,226.5
hij ,4,75.3,112.9
eraan ,6,142.5,197.3
toe. ,5,93.8,93.8
Is ,3,46.2,46.2
het ,4,163.9,218.8
goed ,5,231.7,297.5
met ,4,171.1,171.1
je ,3,100.1,100.1
moeder? ,8,130.2,174.0
"Och, ",5,293.0,356.4
jawel. ,7,198.0,338.7
Je ,3,199.4,203.7
weet ,5,181.6,249.9
dat ,4,155.6,304.5
ze ,3,104.4,123.8
hertrouwd ,10,245.9,677.5
is? ,4,92.5,132.5
Ik ,3,44.4,44.4
vrees ,6,235.6,327.0
dat ,4,54.0,86.9
ik ,3,34.7,34.7
mijn ,5,186.7,305.3
verbazing ,10,234.8,266.4
nogal ,6,173.8,252.2
duidelijk ,10,177.7,262.6
liet ,5,111.6,138.1
blijken. ,9,192.9,310.1
Mevrouw ,8,191.1,330.8
"Cavendish, ",11,171.1,441.8
die ,4,102.9,129.7
met ,4,159.9,242.1
Johns ,6,141.7,264.3
vader ,6,209.5,404.0
trouwde ,8,194.8,352.1
toen ,5,216.9,299.3
deze ,5,171.1,420.8
weduwnaar ,10,175.9,466.9
was ,4,104.0,135.1
en ,3,97.4,97.4
twee ,5,203.9,284.8
zoons ,6,137.3,193.0
"had, ",5,155.3,229.8
was ,4,53.8,70.5
in ,3,122.2,145.9
mijn ,5,141.8,181.5
herinnering ,12,202.6,283.7
een ,4,76.2,76.2
knappe ,7,169.3,275.5
